1stFlrSF,2ndFlrSF,BsmtFinSF1,GarageArea,GrLivArea,LotArea,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
856,854.0,706,548,1710,8450,5,7,856,2003,208500
1262,0.0,978,460,1262,9600,8,6,1262,1976,181500
920,866.0,486,608,1786,11250,5,7,920,2001,223500
961,348.5240174672489,216,642,1717,9550,5,7,756,1915,140000
1145,348.5240174672489,655,836,2198,14260,5,8,1145,2000,250000
796,566.0,732,480,1362,14115,5,5,796,1993,143000
1694,0.0,1369,636,1694,10084,5,8,1686,2004,307000
1107,983.0,859,484,2090,10382,6,7,1107,1973,200000
1022,752.0,0,468,1774,6120,5,7,952,1931,129900
1077,0.0,851,205,1077,7420,6,5,991,1939,118000
1040,0.0,906,384,1040,11200,5,5,1040,1965,129500
1182,1142.0,998,736,2324,11924,5,9,1175,2005,345000
912,0.0,737,352,912,12968,6,5,912,1962,144000
1494,0.0,0,840,1494,10652,5,7,1494,2006,279500
1253,0.0,733,352,1253,10920,5,6,1253,1960,157000
854,0.0,0,576,854,6120,8,7,832,1929,132000
1004,0.0,578,480,1004,11241,7,6,1004,1970,149000
1296,0.0,0,516,1296,10791,5,4,0,1967,90000
1114,348.5240174672489,646,576,1114,13695,5,5,1114,2004,159000
1339,0.0,504,294,1339,7560,6,5,1029,1958,139000
1158,1218.0,0,853,2376,14215,5,8,1158,2005,325300
1108,0.0,0,280,1108,7449,7,7,637,1930,139400
1795,0.0,0,534,1795,9742,5,8,1777,2002,230000
1060,0.0,840,572,1060,4224,7,5,1040,1976,129900
1060,0.0,188,270,1060,8246,8,5,1060,1968,154000
1600,0.0,0,890,1600,14230,5,8,1566,2007,256300
900,0.0,234,576,900,7200,7,5,900,1951,134800
1704,348.5240174672489,1218,772,1704,11478,5,8,1704,2007,306000
1600,0.0,1277,319,1600,16321,6,5,1484,1957,207500
520,0.0,0,240,520,6324,6,4,520,1927,68500
649,668.0,0,250,1317,8500,4,4,649,1920,40000
1228,0.0,0,271,1228,8544,6,5,1228,1966,149350
1234,0.0,0,484,1234,11049,5,8,1234,2007,179900
1700,0.0,1018,447,1700,10552,5,5,1398,1959,165500
1561,0.0,1153,556,1561,7313,5,9,1561,2005,277500
1132,1320.0,0,691,2452,13418,5,8,1117,2004,309000
1097,0.0,0,672,1097,10859,5,5,1097,1994,145000
1297,0.0,1213,498,1297,8532,6,5,1297,1954,153000
1057,0.0,731,246,1057,7922,7,5,1057,1953,109000
1152,0.0,0,0,1152,6040,5,4,0,1955,82000
1324,0.0,643,440,1324,8658,5,6,1088,1965,160000
1328,348.5240174672489,967,308,1328,16905,6,5,1350,1959,170000
884,0.0,747,504,884,9180,7,5,840,1983,144000
938,0.0,280,308,938,9200,6,5,938,1975,130250
1150,0.0,179,300,1150,7945,6,5,1150,1959,141000
1752,0.0,456,576,1752,7658,5,9,1752,2005,319900
1518,631.0,1351,670,2149,12822,5,7,1434,2003,239686
1656,0.0,24,826,1656,11096,5,8,1656,2006,249700
736,716.0,0,0,1452,4456,5,4,736,1920,113000
955,0.0,763,386,955,7742,7,5,955,1966,127000
794,676.0,182,388,1470,13869,6,6,794,1997,177000
816,0.0,0,528,1176,6240,6,6,816,1934,114500
816,0.0,104,516,816,8472,5,5,816,1963,110000
1842,0.0,1810,894,1842,50271,5,9,1842,1981,385000
1360,0.0,384,572,1360,7134,5,5,384,1955,130000
1425,0.0,490,576,1425,10175,5,6,1425,1964,180500
983,756.0,649,480,1739,2645,5,8,970,1999,172500
860,348.5240174672489,0,565,1720,11645,5,7,860,2004,196500
1426,1519.0,0,641,2945,13682,5,10,1410,2006,438780
780,0.0,632,352,780,7200,7,5,780,1972,124900
1158,0.0,941,576,1158,13072,5,6,1158,2004,158000
581,530.0,0,288,1111,7200,7,5,530,1920,101000
1370,0.0,24,484,1370,6442,5,8,1370,2006,202500
902,808.0,0,480,1710,10300,6,7,576,1921,140000
1057,977.0,739,645,2034,9375,5,7,1057,1997,219500
1143,1330.0,0,852,2473,9591,5,8,1143,2004,317000
2207,0.0,912,576,2207,19900,5,7,1947,1970,180000
1479,0.0,1013,558,1479,10665,5,7,1453,2003,226000
747,0.0,0,220,747,4608,6,4,747,1945,80000
1304,983.0,603,667,2287,15593,4,7,1304,1953,225000
2223,0.0,1880,516,2223,13651,6,7,2223,1973,244000
845,0.0,565,360,845,7599,6,4,845,1982,129500
885,833.0,0,427,1718,10141,5,7,832,1998,185000
1086,0.0,320,490,1086,10200,7,5,1086,1954,144900
840,765.0,0,379,1605,5790,6,3,840,1915,107400
526,462.0,462,297,988,1596,5,4,462,1973,91000
952,0.0,228,283,952,8475,7,4,952,1956,135750
