1stFlrSF,2ndFlrSF,BsmtFinSF1,GarageArea,GrLivArea,LotArea,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
1828,0.0,48,774,1828,11694,5,9,1822,2007,314813
894,0.0,0,308,894,6600,5,5,894,1962,109500
964,0.0,713,432,964,13360,7,5,876,1921,163500
1689,0.0,1218,857,1689,13265,5,8,1568,2002,271000
1541,0.0,0,843,1541,13704,5,7,1541,2001,205000
1221,0.0,410,400,1221,7500,5,7,1221,2004,185000
1324,0.0,643,440,1324,8658,5,6,1088,1965,160000
696,720.0,604,484,1416,2572,5,7,696,1999,155000
526,462.0,462,297,988,1596,5,4,462,1973,91000
869,349.0,375,440,1218,6000,6,6,735,1941,131000
760,896.0,0,397,1656,6931,5,7,746,2003,165400
1362,0.0,20,460,1362,7577,5,6,1362,2005,194700
1051,788.0,0,442,1839,7700,5,6,756,1966,155000
1375,0.0,0,451,1375,11310,5,6,1367,1954,140000
1122,348.5240174672489,144,528,1122,12000,7,5,924,1948,147000
1432,0.0,680,588,1432,16157,7,5,1360,1978,194000
728,728.0,0,400,1456,9018,5,7,728,2007,179540
1217,0.0,611,497,1217,9947,5,7,1188,1990,173000
1040,0.0,0,625,1040,7200,7,5,0,1950,109500
612,612.0,294,528,1224,3000,5,6,612,2009,173733
1022,752.0,0,468,1774,6120,5,7,952,1931,129900
961,406.0,241,384,1367,8405,8,5,861,1900,119000
803,557.0,0,297,1360,7200,6,5,803,1938,125500
848,0.0,697,420,848,4426,5,6,848,2004,149300
1482,780.0,871,749,2262,12244,5,8,1482,2003,305000
1220,0.0,836,396,1220,8877,5,4,836,1951,102000
1414,0.0,0,398,1414,3072,5,7,1375,2004,178740
1134,924.0,319,396,2058,9600,5,6,735,1917,129500
1088,110.0,0,0,1198,5586,7,6,901,1920,79900
1659,0.0,1158,499,1659,5664,5,8,1501,2000,278000
1012,0.0,0,308,1012,8263,5,6,1012,1920,118400
1687,998.0,523,672,3082,15863,3,7,824,1920,197000
1032,348.5240174672489,0,672,1812,7630,9,5,360,1900,140000
1057,872.0,738,650,1929,7050,5,7,1057,2001,226000
954,0.0,483,576,954,10780,5,5,911,1976,132500
1838,0.0,1260,765,1838,14601,5,9,1838,2006,315000
1640,0.0,728,924,1640,14778,7,6,1296,1954,224000
1148,0.0,1148,672,1148,7931,5,5,1148,1959,132500
950,0.0,412,280,950,9758,5,5,950,1971,119500
1065,846.0,380,471,1911,9554,5,8,777,1993,215000
915,720.0,300,440,1635,8737,7,6,1065,1923,210000
1316,0.0,0,440,1316,11175,5,7,1316,2007,200141
1442,0.0,0,615,1442,11717,6,6,1442,1970,185000
1078,0.0,734,500,1078,12537,6,5,1078,1971,149900
1120,0.0,932,544,1120,6970,5,4,1040,1961,129000
779,640.0,353,527,1419,7750,5,8,408,2002,184100
707,682.0,0,240,1389,3378,8,7,651,1946,135000
1063,0.0,354,280,1063,9920,5,5,1056,1954,128000
1792,0.0,1567,874,1792,11846,5,9,1792,2003,374000
1216,348.5240174672489,897,402,1216,4500,5,6,1216,1998,164000
998,764.0,0,576,1762,7200,7,7,596,1920,157000
847,1112.0,0,434,1959,11796,5,7,847,2004,215000
1208,348.5240174672489,767,546,1208,11250,6,6,1208,1977,165000
874,650.0,460,315,1524,11344,5,5,874,1958,144000
796,358.0,735,240,1154,5436,8,4,796,1922,125500
1048,0.0,0,420,1048,7200,5,5,0,1950,98300
886,0.0,0,273,886,5784,8,5,190,1938,91300
943,0.0,943,600,943,7032,5,5,943,1979,135960
866,902.0,400,603,1768,9803,5,7,866,2005,226700
1422,1177.0,0,779,2599,14774,5,9,1393,1999,333168
912,0.0,456,275,912,10150,5,5,912,1958,114500
882,0.0,0,308,882,12702,5,5,0,1956,97000
1337,0.0,266,511,1337,4060,5,6,1405,1998,181000
2076,0.0,1386,850,2076,13891,5,10,2076,2006,465000
1328,1203.0,56,752,2531,12257,5,8,1318,1995,290000
981,787.0,569,240,1768,7200,7,5,731,1937,175000
1625,0.0,1573,538,1625,4750,5,8,1573,2006,235000
1444,700.0,697,389,2144,159000,7,6,1444,1958,277000
1521,348.5240174672489,0,880,2775,13500,9,10,1237,1893,325000
1140,728.0,0,477,1868,12090,7,6,585,1984,178000
1525,0.0,1400,541,1525,9100,5,7,1525,2000,235000
1571,0.0,0,722,1571,10991,5,8,1571,2007,239000
796,0.0,0,0,796,8777,7,5,796,1910,85000
1378,994.0,0,432,2372,6600,4,5,994,1892,107500
802,670.0,0,402,1472,10784,5,7,384,1991,160000
960,0.0,648,364,960,10246,9,4,648,1965,145000
734,1104.0,0,372,1838,21930,5,5,732,2005,192140
1309,0.0,663,484,1309,10140,6,6,1040,1974,181000
2069,574.0,0,694,2643,13693,5,9,2153,2006,380000
676,455.0,0,200,1131,5720,6,5,676,1941,66500
960,1000.0,0,400,1960,7596,5,5,960,1952,124500
1144,0.0,25,336,1144,9204,5,5,1144,1963,124000
1056,0.0,1056,576,1056,6979,5,6,1056,1980,144000
693,0.0,0,0,693,4118,4,4,693,1941,52500
1494,0.0,1200,576,1494,9236,5,6,1479,1997,217000
1646,0.0,1373,482,1646,3842,5,8,1594,2004,275000
864,0.0,390,352,864,7180,7,5,864,1972,127000
1566,0.0,1078,750,1566,9000,5,8,1566,2008,262500
735,660.0,593,497,1395,12936,6,6,723,1972,162000
848,0.0,152,539,1208,6240,5,4,780,1925,103000
939,574.0,0,180,1513,6120,8,5,939,1920,137500
959,408.0,425,560,1367,6240,6,6,884,1931,127500
955,0.0,763,386,955,7742,7,5,955,1966,127000
1077,0.0,0,210,1077,9786,4,3,1007,1922,91000
1056,0.0,1056,572,1056,34650,5,5,1056,1955,145000
756,797.0,0,615,1553,8125,5,7,756,2005,186500
1614,0.0,20,865,1614,11210,5,7,1614,2005,221500
2042,0.0,0,1390,2042,12704,5,8,2042,2008,253293
1073,0.0,0,326,1073,5400,6,5,1073,1921,108480
1072,213.0,336,240,1285,8635,5,5,672,1948,127000
2117,0.0,865,550,2117,12925,7,6,1205,1970,237500
605,0.0,348,0,605,9098,7,4,528,1920,86000
1150,0.0,179,300,1150,7945,6,5,1150,1959,141000
728,728.0,0,400,1456,8029,5,6,728,2005,176000
999,0.0,867,588,999,12122,9,7,944,1961,178400
750,750.0,0,564,1500,8846,5,6,750,2005,173900
1336,0.0,841,375,1336,15750,5,5,1165,1953,157000
864,729.0,759,398,1593,7415,5,6,839,2004,193000
1130,1054.0,936,836,2184,11308,5,9,1104,2008,335000
1560,0.0,0,573,1560,9196,5,7,1560,2003,201000
888,348.5240174672489,386,312,1644,9480,7,5,728,1942,146500
630,0.0,515,286,630,1526,8,4,630,1970,86000
1113,0.0,751,504,1113,7917,7,6,1143,1976,148000
1071,1101.0,0,947,2172,14154,5,7,1063,2006,280000
796,550.0,0,384,1346,11767,7,4,560,1910,112000
1184,1426.0,64,550,2610,9000,5,8,1184,2007,303477
1026,932.0,0,936,1958,10625,5,7,1026,2005,250000
1468,0.0,0,898,1468,9612,5,8,1468,2008,244600
1302,432.0,0,539,1734,10125,5,5,0,1977,126000
768,432.0,352,240,1200,11767,6,5,768,1946,130500
1112,438.0,812,438,1550,8125,5,7,1092,2006,241000
954,795.0,0,440,2230,6204,5,4,795,1912,118500
1166,0.0,0,240,1639,10480,5,6,1064,1936,115000
864,0.0,521,624,864,9100,5,5,864,1958,129900
1621,0.0,213,440,1621,14145,7,7,1208,1984,202500
483,504.0,162,264,987,1680,8,6,483,1972,118000
1238,1281.0,965,628,2519,26178,5,7,1210,1989,335000
765,600.0,765,440,1365,2368,6,5,765,1970,125000
1149,1141.0,0,779,2290,11250,5,8,1128,2002,255900
1249,1347.0,0,840,2596,16259,5,9,1249,2006,342643
907,0.0,288,352,907,8593,6,4,907,1957,109008
855,348.5240174672489,566,440,1456,2280,6,6,855,1976,148500
1190,0.0,803,540,1190,7728,6,5,1106,1962,132500
858,0.0,322,684,858,7340,6,4,858,1971,110000
2223,0.0,1880,516,2223,13651,6,7,2223,1973,244000
1005,0.0,0,672,1005,10434,5,4,1005,1955,115000
1086,809.0,0,409,1895,10832,5,7,712,1994,194500
1040,0.0,906,384,1040,11200,5,5,1040,1965,129500
1264,0.0,697,461,1264,9300,5,5,1268,1960,167500
874,887.0,0,578,1761,10207,6,7,874,2007,227875
1034,0.0,539,888,1034,12328,5,6,1012,1976,169900
1363,0.0,226,439,1363,39104,7,7,1385,1954,241500
1689,0.0,0,480,1689,9855,5,6,1436,1956,127500
2113,0.0,1696,839,2113,10437,6,8,2109,1995,350000
1573,0.0,788,544,1573,9808,5,7,1573,2002,227000
2364,0.0,2188,820,2364,12919,5,9,2330,2009,611657
1057,977.0,739,645,2034,9375,5,7,1057,1997,219500
1291,0.0,1003,431,1291,2887,5,6,1291,1996,173000
858,0.0,696,0,858,7207,7,5,858,1958,116500
698,560.0,204,280,1258,9060,5,6,560,1939,105000
438,0.0,290,246,438,8400,5,2,290,1920,60000
672,728.0,209,440,1400,7844,7,6,672,1978,149500
954,0.0,0,240,954,6305,7,5,920,1938,119750
1445,0.0,564,645,1445,12095,6,6,1127,1964,158000
1072,0.0,459,525,1072,3675,5,6,547,2005,148000
1664,0.0,0,0,1664,9825,5,5,0,1965,100000
1445,689.0,0,441,2134,11888,6,6,844,1916,214500
1940,1254.0,428,380,3194,12168,6,8,965,1934,359100
912,912.0,0,0,1824,9400,5,6,912,1971,139000
888,868.0,742,422,1756,9303,5,6,872,1996,204000
912,0.0,595,576,912,8872,8,5,912,1965,147000
1509,0.0,783,600,1509,10200,5,6,1461,1988,175000
1160,448.0,264,216,1608,6171,6,6,976,1925,137450
1316,0.0,28,397,1316,10237,5,6,1316,2005,169990
1015,0.0,489,450,1015,6120,7,5,768,1925,88000
756,378.0,312,240,1134,8160,6,5,756,1940,126000
1636,0.0,63,865,1636,13501,5,8,1623,2006,255000
660,660.0,0,400,1320,7750,5,7,660,2003,162000
1160,966.0,249,538,2126,28698,5,5,1013,1967,185000
1128,0.0,776,525,1128,8700,6,5,1120,1963,155000
1306,0.0,860,756,1306,8712,7,5,992,1957,153000
798,546.0,0,0,1344,1533,6,4,546,1970,97000
1576,978.0,0,704,2554,10800,8,7,718,1890,159500
893,0.0,220,576,893,9600,7,5,845,1949,135000
894,1039.0,0,668,1933,14598,5,6,894,2007,214000
672,546.0,356,264,1218,1890,5,6,672,1973,113000
1161,808.0,0,534,1969,11952,6,7,808,1977,190000
1220,870.0,1079,556,2090,10000,5,8,1220,1995,240000
1484,0.0,998,487,1484,12243,6,5,1484,1971,175000
1656,0.0,0,506,1656,9246,5,5,1656,1973,135000
818,406.0,468,210,1224,3950,8,6,818,1926,115000
1022,1032.0,695,390,2054,12224,5,6,992,2000,244000
854,0.0,0,576,854,6120,8,7,832,1929,132000
546,546.0,334,286,1092,1974,5,4,546,1973,83500
1268,0.0,196,252,1268,9286,7,5,1268,1977,143500
827,834.0,385,550,1661,10667,6,7,799,1996,212000
