1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856,854.0,3.0,2.0,706,7,150,0.0,548,3,2003.0,1710,4,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500
1262,0.0,3.0,5.0,978,6,284,,460,3,1976.0,1262,3,9600,80.0,0.0,0,8,6,1262,,1976,1976,181500
920,866.0,3.0,3.0,486,7,434,0.0,608,3,2001.0,1786,4,11250,68.0,162.0,42,5,7,920,,2001,2002,223500
961,,,2.0,216,6,540,,642,2,1998.0,1717,4,9550,60.0,0.0,35,5,7,756,,1915,1970,140000
1145,,4.0,4.0,655,7,490,0.0,836,3,2000.0,2198,4,14260,84.0,350.0,84,5,8,1145,,2000,2000,250000
796,566.0,1.0,2.0,732,7,64,,480,2,1993.0,1362,3,14115,85.0,0.0,30,5,5,796,,1993,1995,143000
1694,0.0,3.0,4.0,1369,7,317,,636,3,2004.0,1694,4,10084,75.0,186.0,57,5,8,1686,,2004,2005,307000
1107,983.0,3.0,3.0,859,6,216,,484,1,1973.0,2090,3,10382,,240.0,204,6,7,1107,,1973,1973,200000
1022,752.0,2.0,2.0,0,2,952,,468,2,1931.0,1774,3,6120,51.0,0.0,0,5,7,952,,1931,1950,129900
1077,0.0,2.0,2.0,851,7,140,,205,3,1939.0,1077,3,7420,50.0,0.0,4,6,5,991,,1939,1950,118000
1040,0.0,3.0,2.0,906,4,134,,384,2,1965.0,1040,3,11200,70.0,0.0,0,5,5,1040,,1965,1965,129500
1182,1142.0,4.0,2.0,998,1,177,,736,4,2005.0,2324,5,11924,85.0,286.0,21,5,9,1175,,2005,2006,345000
912,0.0,2.0,2.0,737,6,175,,352,1,1962.0,912,3,12968,,0.0,0,6,5,912,,1962,1962,144000
1494,0.0,3.0,4.0,0,2,1494,,840,3,2006.0,1494,4,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500
1253,0.0,,2.0,733,5,520,,352,3,1960.0,1253,3,10920,,212.0,213,5,6,1253,,1960,1960,157000
854,0.0,2.0,2.0,0,2,832,,576,2,1991.0,854,3,6120,51.0,0.0,112,8,7,832,,1929,2001,132000
1004,0.0,2.0,2.0,578,6,426,,480,4,1970.0,1004,3,11241,,180.0,0,7,6,1004,,1970,1970,149000
1296,0.0,2.0,1.0,0,1,0,,516,2,1967.0,1296,3,10791,72.0,0.0,0,5,4,0,,1967,1967,90000
1114,,,2.0,646,7,468,,576,2,2004.0,1114,4,13695,66.0,0.0,102,5,5,1114,,2004,2004,159000
1339,0.0,3.0,2.0,504,3,525,,294,2,1958.0,1339,3,7560,70.0,0.0,0,6,5,1029,,1958,1965,139000
1158,1218.0,4.0,4.0,0,2,1158,,853,3,2005.0,2376,4,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300
1108,0.0,3.0,2.0,0,2,637,,280,2,1930.0,1108,4,7449,57.0,0.0,0,7,7,637,,1930,1950,139400
1795,0.0,3.0,2.0,0,1,1777,,534,3,2002.0,1795,4,9742,75.0,281.0,159,5,8,1777,,2002,2002,230000
1060,0.0,3.0,2.0,840,7,200,,572,1,1976.0,1060,3,4224,44.0,0.0,110,7,5,1040,100.0,1976,1976,129900
1060,0.0,3.0,3.0,188,4,204,,270,2,1968.0,1060,4,8246,,0.0,90,8,5,1060,,1968,2001,154000
1600,0.0,3.0,2.0,0,2,1566,,890,3,2007.0,1600,4,14230,110.0,640.0,56,5,8,1566,,2007,2007,256300
900,0.0,3.0,3.0,234,1,180,,576,2,2005.0,900,4,7200,60.0,0.0,32,7,5,900,,1951,2000,134800
1704,,3.0,2.0,1218,7,486,,772,1,2008.0,1704,4,11478,98.0,200.0,50,5,8,1704,,2007,2008,306000
1600,0.0,2.0,5.0,1277,5,207,0.0,319,3,1957.0,1600,3,16321,47.0,0.0,258,6,5,1484,,1957,1997,207500
